Replication, Day, Queue Amount
1, 1031, 3669
1, 1032, 3683
1, 1033, 3638
1, 1034, 3629
1, 1035, 3599
1, 1036, 3673
1, 1037, 3715
1, 1038, 3679
1, 1039, 3697
1, 1040, 3670
1, 1041, 3636
1, 1042, 3608
1, 1043, 3661
1, 1044, 3691
1, 1045, 3618
1, 1046, 3644
1, 1047, 3606
1, 1048, 3588
1, 1049, 3557
1, 1050, 3631
1, 1051, 3668
1, 1052, 3614
1, 1053, 3632
1, 1054, 3603
1, 1055, 3581
1, 1056, 3581
1, 1057, 3651
1, 1058, 3686
1, 1059, 3621
1, 1060, 3647
1, 1061, 3650
1, 1062, 3637
1, 1063, 3604
1, 1064, 3669
1, 1065, 3697
1, 1066, 3629
1, 1067, 3667
1, 1068, 3667
1, 1069, 3643
1, 1070, 3607
1, 1071, 3677
1, 1072, 3705
1, 1073, 3665
1, 1074, 3667
1, 1075, 3653
1, 1076, 3622
1, 1077, 3591
1, 1078, 3659
1, 1079, 3694
1, 1080, 3636
1, 1081, 3661
1, 1082, 3662
1, 1083, 3642
1, 1084, 3616
1, 1085, 3682
1, 1086, 3710
1, 1087, 3646
1, 1088, 3659
1, 1089, 3700
1, 1090, 3673
1, 1091, 3639
1, 1092, 3702
1, 1093, 3724
1, 1094, 3673
2, 365, 5000
2, 366, 4934
2, 367, 4860
2, 368, 4799
2, 369, 4743
2, 370, 4662
2, 371, 4702
2, 372, 4744
2, 373, 4674
2, 374, 4616
2, 375, 4566
2, 376, 4500
2, 377, 4434
2, 378, 4463
2, 379, 4508
2, 380, 4457
2, 381, 4386
2, 382, 4308
2, 383, 4240
2, 384, 4168
2, 385, 4197
2, 386, 4231
2, 387, 4179
2, 388, 4123
2, 389, 4050
2, 390, 3980
2, 391, 3929
2, 392, 3966
2, 393, 4009
2, 394, 3959
2, 395, 3915
2, 396, 3847
2, 397, 3778
2, 398, 3714
2, 399, 3748
2, 400, 3788
2, 401, 3730
2, 402, 3689
2, 403, 3651
2, 404, 3567
2, 405, 3489
2, 406, 3505
2, 407, 3539
2, 408, 3465
2, 409, 3407
2, 410, 3342
2, 411, 3267
2, 412, 3214
2, 413, 3257
2, 414, 3289
2, 415, 3236
2, 416, 3171
2, 417, 3089
2, 418, 3028
2, 419, 2972
2, 420, 3009
2, 421, 3052
2, 422, 2983
2, 423, 2928
2, 424, 2866
2, 425, 2778
2, 426, 2709
2, 427, 2753
2, 428, 2784
2, 429, 2736
2, 430, 2668
2, 431, 2606
2, 432, 2530
2, 433, 2467
2, 434, 2502
2, 435, 2537
2, 436, 2484
2, 437, 2427
2, 438, 2373
2, 439, 2310
2, 440, 2251
2, 441, 2281
2, 442, 2306
2, 443, 2246
2, 444, 2194
2, 445, 2140
2, 446, 2103
2, 447, 2050
2, 448, 2077
2, 449, 2135
2, 450, 2069
2, 451, 2015
2, 452, 1954
2, 453, 1892
2, 454, 1830
2, 455, 1859
2, 456, 1897
2, 457, 1826
2, 458, 1779
2, 459, 1712
2, 460, 1652
2, 461, 1594
2, 462, 1633
2, 463, 1666
2, 464, 1597
2, 465, 1537
2, 466, 1470
2, 467, 1404
2, 468, 1340
2, 469, 1373
2, 470, 1401
2, 471, 1354
2, 472, 1294
2, 473, 1232
2, 474, 1178
2, 475, 1120
2, 476, 1152
2, 477, 1181
2, 478, 1125
2, 479, 1085
2, 480, 1026
2, 481, 967
2, 482, 904
2, 483, 943
2, 484, 976
2, 485, 910
2, 486, 851
2, 487, 785
2, 488, 746
2, 489, 672
2, 490, 702
2, 491, 733
2, 492, 682
2, 493, 647
2, 494, 575
2, 495, 516
2, 496, 459
2, 497, 492
